id,titulo,genero,rating
1,Docks of New York,sin genero,0
2,Generals Daughter,sin genero,0
3,Angry Silence,sin genero,0
4,Day After Trinity,sin genero,0
5,Disneyland Dream,sin genero,0
6,Eenfance naked Childhood,sin genero,0
7,Who Is John Galt,sin genero,0
8,How to Survive a Plague,sin genero,0
9,The Man From The Alamo,sin genero,0
10,The Case of Lucky Legs,sin genero,0
11,Musketeer,sin genero,0
12,Romantic Comedy,sin genero,0
13,Fall From Grace,sin genero,0
14,Casshern,sin genero,0
15,Dragonquest,sin genero,0
16,North Face,sin genero,0
17,Satans Tango ,sin genero,0
18,Chu Chin Chow,sin genero,0
19,Cannibal Holocaust,sin genero,0
20,Boy Meets Boy,sin genero,0
21,Sgt Kabukiman,sin genero,0
22,Naked in New York,sin genero,0
23,American Winterr,sin genero,0
24,Tic Code The,sin genero,0
25,Kick Ass,sin genero,0
26,In the Cut,sin genero,0
27,Telefon,sin genero,0
28,The Coven,sin genero,0
29,Dirty Work,sin genero,0
30,Sometimes They Come Back,sin genero,0
31,Floundering,sin genero,0
32,Chance of a Lifetime,sin genero,0
33,The Snow White Murder Case,sin genero,0
34,Yonkers Joe,sin genero,0
35,With Love,sin genero,0
36,Questioning Darwin,sin genero,0
37,Designing Woman,sin genero,0
38,Battlestar Galactica,sin genero,0
39,Bone Collector,sin genero,0
40,Saturday Night Fever,sin genero,0
41,Brute The Bruto,sin genero,0
42,Experiment in Terror,sin genero,0
43,At the Earths Core,sin genero,0
44,Summer in Berlin,sin genero,0
45,Presidents Man,sin genero,0
46,36 Quai des Orfevres,sin genero,0
47,Raiders of the Lost Ark,sin genero,0
48,Taxi 4,sin genero,0
49,Horrible Bosses 2,sin genero,0
50,Jill the Ripper,sin genero,0
51,Robot Carnival,sin genero,0
52,That Touch of Mink,sin genero,0
53,47 Ronin,sin genero,0
54,Heartlands,sin genero,0
55,Divorcee,sin genero,0
56,Minions,sin genero,0
57,Dragon Ball Z,sin genero,0
58,Link,sin genero,0
59,1969,sin genero,0
60,Flying Down to Rio,sin genero,0
61,Wednesday,sin genero,0
62,Dawn Rider,sin genero,0
63,Invaders from Mars,sin genero,0
64,Ugly Truth,sin genero,0
65,10 000 timmar,sin genero,0
66,My Sassy Girl,sin genero,0
67,Mystery Science Theater 3000,sin genero,0
68,Mountaintop Motel Massacre,sin genero,0
69,My Favorite Martian,sin genero,0
70,Pirates Who Dont Do Anything,sin genero,0
71,Dr. Jack,sin genero,0
72,5 Deadly Venoms,sin genero,0
73,Deep Rising,sin genero,0
74,In America,sin genero,0
75,Big Mommas Like Father,sin genero,0
76,North to Alaska,sin genero,0
77,Doubt,sin genero,0
78,Dark Horse,sin genero,0
79,Kanine,sin genero,0
80,Surfs Up,sin genero,0
81,Carbon Copy,sin genero,0
82,Rogue Cop,sin genero,0
83,Dodge City,sin genero,0
84,Greatest Show on Earth,sin genero,0
85,Quicksilver Highway,sin genero,0
86,Creepshow 2,sin genero,0
87,Je appelle Elisabeth,sin genero,0
88,200 MPH,sin genero,0
89,Phantom,sin genero,0
90,Cheech and Chong,sin genero,0
91,Take Me Out to the Ball Game,sin genero,0
92,Silent House,sin genero,0
93,Ordinary Decent Criminal,sin genero,0
94,Erie Tales,sin genero,0
95,Cloverfield,sin genero,0
96,Way We Laughed,sin genero,0
97,Vie en Rose,sin genero,0
98,Best Defense,sin genero,0
99,Jimmy Rosenberg,sin genero,0
100,You Kill Me,sin genero,0
