id,titulo,genero,rating
1,Docks of New York,Accion,10
8,How to Survive a Plague,Accion,8
9,The Man From The Alamo,Accion,4
11,Musketeer,Accion,1
12,Romantic Comedy,Accion,6
16,North Face,Accion,6
17,Satans Tango ,Accion,1
27,Telefon,Accion,8
28,The Coven,Accion,5
29,Dirty Work,Accion,7
30,Sometimes They Come Back,Accion,8
31,Floundering,Accion,2
34,Yonkers Joe,Accion,3
41,Brute The Bruto,Accion,8
45,Presidents Man,Accion,2
52,That Touch of Mink,Accion,5
57,Dragon Ball Z,Accion,5
58,Link,Accion,8
59,1969,Accion,1
62,Dawn Rider,Accion,2
78,Dark Horse,Accion,2
84,Greatest Show on Earth,Accion,9
85,Quicksilver Highway,Accion,4
89,Phantom,Accion,1
99,Jimmy Rosenberg,Accion,9
100,You Kill Me,Accion,7
