id,titulo,genero,rating
4,Day After Trinity,Terror,10
6,Eenfance naked Childhood,Terror,5
9,The Man From The Alamo,Terror,7
13,Fall From Grace,Terror,3
14,Casshern,Terror,8
18,Chu Chin Chow,Terror,3
30,Sometimes They Come Back,Terror,1
31,Floundering,Terror,6
37,Designing Woman,Terror,6
38,Battlestar Galactica,Terror,1
40,Saturday Night Fever,Terror,3
42,Experiment in Terror,Terror,8
47,Raiders of the Lost Ark,Terror,9
48,Taxi 4,Terror,4
51,Robot Carnival,Terror,1
56,Minions,Terror,7
59,1969,Terror,9
61,Wednesday,Terror,8
67,Mystery Science Theater 3000,Terror,10
79,Kanine,Terror,10
82,Rogue Cop,Terror,9
88,200 MPH,Terror,10
99,Jimmy Rosenberg,Terror,3
