id,titulo,genero,rating
2,Generals Daughter,Accion,9
3,Angry Silence,Accion,2
12,Romantic Comedy,Accion,1
22,Naked in New York,Accion,6
25,Kick Ass,Accion,4
26,In the Cut,Accion,9
27,Telefon,Accion,3
28,The Coven,Accion,4
39,Bone Collector,Accion,10
41,Brute The Bruto,Accion,6
45,Presidents Man,Accion,9
46,36 Quai des Orfevres,Accion,5
50,Jill the Ripper,Accion,8
53,47 Ronin,Accion,2
54,Heartlands,Accion,6
58,Link,Accion,10
65,10 000 timmar,Accion,9
66,My Sassy Girl,Accion,3
75,Big Mommas Like Father,Accion,2
78,Dark Horse,Accion,2
80,Surfs Up,Accion,6
81,Carbon Copy,Accion,1
85,Quicksilver Highway,Accion,6
87,Je appelle Elisabeth,Accion,4
90,Cheech and Chong,Accion,4
93,Ordinary Decent Criminal,Accion,3
94,Erie Tales,Accion,10
96,Way We Laughed,Accion,2
97,Vie en Rose,Accion,9
100,You Kill Me,Accion,5
11,Musketeer,Comedia,1
16,North Face,Comedia,1
68,Mountaintop Motel Massacre,Comedia,8
70,Pirates Who Dont Do Anything,Comedia,2
73,Deep Rising,Comedia,6
74,In America,Comedia,8
43,At the Earths Core,Comedia,1
76,North to Alaska,Comedia,1
77,Doubt,Comedia,6
17,Satans Tango ,Comedia,8
20,Boy Meets Boy,Comedia,5
21,Sgt Kabukiman,Comedia,4
83,Dodge City,Comedia,6
84,Greatest Show on Earth,Comedia,4
52,That Touch of Mink,Comedia,6
86,Creepshow 2,Comedia,1
29,Dirty Work,Comedia,10
89,Phantom,Comedia,8
34,Yonkers Joe,Comedia,3
91,Take Me Out to the Ball Game,Comedia,3
92,Silent House,Comedia,3
55,Divorcee,Comedia,3
57,Dragon Ball Z,Comedia,3
95,Cloverfield,Comedia,2
35,With Love,Comedia,4
60,Flying Down to Rio,Comedia,9
98,Best Defense,Comedia,4
63,Invaders from Mars,Comedia,6
1,Docks of New York,Drama,1
5,Disneyland Dream,Drama,6
36,Questioning Darwin,Drama,8
23,American Winterr,Drama,10
62,Dawn Rider,Drama,10
24,Tic Code,Drama,8
64,Ugly Truth,Drama,8
15,Dragonquest,Drama,5
44,Summer in Berlin,Drama,2
7,Who Is John Galt,Drama,1
69,My Favorite Martian,Drama,4
8,How to Survive a Plague,Drama,6
71,Dr. Jack,Drama,6
72,5 Deadly Venoms,Drama,6
49,Horrible Bosses 2,Drama,1
19,Cannibal Holocaust,Drama,3
10,The Case of Lucky Legs,Drama,3
32,Chance of a Lifetime,Drama,1
33,The Snow White Murder Case,Drama,9
59,1969,Terror,9
79,Kanine,Terror,10
31,Floundering,Terror,6
61,Wednesday,Terror,8
82,Rogue Cop,Terror,9
18,Chu Chin Chow,Terror,3
13,Fall From Grace,Terror,3
14,Casshern,Terror,8
47,Raiders of the Lost Ark,Terror,9
48,Taxi 4,Terror,4
88,200 MPH,Terror,10
67,Mystery Science Theater 3000,Terror,10
4,Day After Trinity,Terror,10
6,Eenfance naked Childhood,Terror,5
51,Robot Carnival,Terror,1
37,Designing Woman,Terror,6
38,Battlestar Galactica,Terror,1
9,The Man From The Alamo,Terror,7
40,Saturday Night Fever,Terror,3
56,Minions,Terror,7
30,Sometimes They Come Back,Terror,1
99,Jimmy Rosenberg,Terror,3
42,Experiment in Terror,Terror,8
